projOrgFDate,wfoid,project_status,approvedOn,hardcopysubmissionDate,projectCost,projectType,districtName,project_address,total_est_cost_of_proj,payment_status,regNo,startDate,endDate,districtType,projectName,promoterAddress,regFee,project_cost,extDate,project_ack_no,promoterName,disposed_date
2025-12-31 05:30:00,11716,New,05-May-2021,2021-02-27 00:46:32,64448669,Residential/Group Housing,Vadodara,"SHIVAM HEIGHTS TRIPLEX, NEAR DARSHANAM PEARL OPP BANSAL MALL TARSALI",64448669,Paid,PR/GJ/VADODARA/VADODARA/Others/RAA08414/050521,18-February-2021,31-December-2025,Vadodara,SHIVAM HEIGHTS TRIPLEX,NA,11280.48,64448669,,PR/VADODARA/VADODARA/GANDHINAGAR TPO/210315/010555,SHREE INFRA,
2025-12-31 05:30:00,11717,New,06-April-2021,2021-02-26 20:43:25,65871558,Plotted Development,Junagadh,"Majevdi Gate, Railway Station Road, Junagadh.",65871558,Paid,PR/GJ/JUNAGADH/JUNAGADH/Others/PAA08295/060421,20-December-2018,31-December-2025,Others,VED,NA,208674.1,65871558,,PR/JUNAGADH/JUNAGADH/JUNAGADH TPO/210308/010553,NAYANKUMAR SARMANBHAI MARU,
2023-12-31 05:30:00,11718,New,07-April-2021,2021-03-06 21:46:27,54000100,Residential/Group Housing,Ahmedabad,"Iconic One, Nr. Popat Chokdi, Viramgam",54000100,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08316/070421,19-January-2021,31-December-2023,Ahmedabad,Iconic One,NA,25134.16,54000100,,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210316/010554,AB Infra,
2022-12-31 05:30:00,11719,New,09-April-2021,2021-02-26 23:49:28,81900000,Residential/Group Housing,Ahmedabad,"FINAL PLOT 116/01 (RS NO 759/4) TP 41 ,OPP UMA VIHAR ELYSIUM , NEAR AASTHA  VILLA BUNGLOWS , SOLA",81900000,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08329/090421,10-February-2021,31-December-2022,Ahmedabad,ELAN PRIDE,NA,13125.28,81900000,,PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/210315/010556,GURU INFRACON,
2025-11-30 05:30:00,11722,New,27-May-2021,2021-02-27 00:55:40,14017364,Plotted Development,Vadodara,"R.S. No. 1/1, 1/2 and 1/3, T.P.S. No. 3 Panigate,Vadodara Kasba, Vadodara",14017364,Paid,PR/GJ/VADODARA/VADODARA/Others/PAA08519/270521,05-January-2021,30-November-2025,Vadodara,Haji Park,NA,16873.5,14017364,,PR/VADODARA/VADODARA/VADODARA TPO/210302/010557,Mr. Imtiyaz Ahmed Yusufbhai Khatri Zulekhaben Wahidbhai Khatri and others,
2027-12-31 05:30:00,11723,New,22-April-2021,2021-03-05 23:45:51,357810629,Residential/Group Housing,Surat,"F.P.18, T.P.-14, Jhangirabad Canal Road,  B/h- D-Mart, Jahangirabad, Surat",357810629,Paid,PR/GJ/SURAT/SURAT CITY/SUDA/RAA08351/220421,05-February-2021,31-December-2027,Surat,SWICON WINGS,NA,81627.84,367410629,,PR/SURAT/SURAT CITY/SURAT TPO/210308/010558,SHIV CORPORATION,
2024-06-01 05:30:00,11724,New,31-March-2021,2021-02-27 01:17:03,421912600,Mixed Development,Ahmedabad,"PLOT NO. 198/1/2, B/H VANDEMATRAM FABULA, NR MALABAR COUNTRY-1, B/H NIRMA UNIVERSITY, CHARODI",421912600,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08286/310321,03-February-2021,01-June-2024,Ahmedabad,ALAYA HEIGHTS,NA,158474.1,421912600,,PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/210302/010559,SHIV DEVELOPERS,
2027-12-31 05:30:00,11726,New,06-April-2021,2021-02-27 20:44:02,608538690,Residential/Group Housing,Vadodara,F P No 28 T P No 1 Near Harmony Bungalows Bhayli,608538690,Paid,PR/GJ/VADODARA/VADODARA/Others/RAA08302/060421,01-January-2021,31-December-2027,Vadodara,ARTHAM EMINENCE,NA,91051.68,608538690,,PR/VADODARA/VADODARA/VADODARA TPO/210308/010560,ARTHAM INFRA,
2025-12-31 05:30:00,11727,New,07-May-2021,2021-02-27 18:26:28,90348930,Mixed Development,Ahmedabad,"Shivaan Shilp, Onway Girls School to Rajoda Road  Opp. Samarpan Bungalows, Bavla, Ahmedabad",90348930,Paid,PR/GJ/AHMEDABAD/BAVLA/AUDA/MAA08423/070521,01-November-2020,31-December-2025,Ahmedabad,Shivaan Shilp,NA,58496.4,90450000,,PR/AHMEDABAD/BAVLA/AHMEDABAD TPO/210302/010561,Ivaan Infracon,
2021-12-31 05:30:00,11728,New,20-March-2021,2021-02-27 19:48:09,12651000,Residential/Group Housing,Rajkot,"APPLE - A, BALAJI PARK -1, PATIDAR CHOWK, SADHUVASVANI ROAD, RAJKOT",12651000,Paid,PR/GJ/RAJKOT/RAJKOT/Others/RAA08239/200321,24-February-2020,31-December-2021,Rajkot,APPLE - A,NA,10000,12651000,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210302/010562,DREAM DEVELOPERS,
2026-03-31 05:30:00,11729,New,03-May-2021,2021-03-18 00:17:39,2342917314,Residential/Group Housing,Ahmedabad,"Behind Rajpath Club Bodakdev,",2342917314,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08400/030521,10-December-2020,31-March-2026,Ahmedabad,Venus Pashmina,NA,300069.04,2342917314,,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210322/010564,Sarthi Prospace LLP,
2021-12-31 05:30:00,11730,New,20-March-2021,2021-02-27 20:58:54,12651000,Residential/Group Housing,Rajkot,"APPLE -B, BALAJI PARK -1, PATIDAR CHOWK, SADHU VASVANI ROAD, RAJKOT",12651000,Paid,PR/GJ/RAJKOT/RAJKOT/Others/RAA08240/200321,24-February-2020,31-December-2021,Rajkot,APPLE -B,NA,10000,12651000,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210308/010563,DREAM DEVELOPERS,
2024-12-31 05:30:00,11731,New,21-May-2021,2021-03-08 19:49:43,571680000,Mixed Development,Ahmedabad,"Survey No. 857, FP129, TP 405, Shilaj Ambali Sindhu Bhawan Road, SP Ring ROad, Shilaj",571680000,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08481/A1M/161021,01-January-2021,31-December-2024,Ahmedabad,SHREEYAM LOTUS,NA,162614.25,571680000,,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210315/010574,SHREEYAM INFRA,
2021-12-31 05:30:00,11738,New,03-May-2021,2021-02-28 00:07:59,14182820,Residential/Group Housing,Rajkot,"APPLE - C, BALAJI PARK - 1, PATIDAR CHOWK, SADHUVASVANI ROAD, RAJKOT",14182820,Paid,PR/GJ/RAJKOT/RAJKOT/Others/RAA08399/030521,13-October-2020,31-December-2021,Rajkot,APPLE - C,NA,10000,14182820,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210308/010569,DREAM DEVELOPERS,
2025-12-31 05:30:00,11739,New,06-April-2021,2021-03-01 00:13:46,376770700,Mixed Development,Vadodara,"SOLARIS PLUS, WAVES CLUB ROAD, NEAR BRIGHT DAY SCHOOL VASNA-BHAYALI ROAD",376770700,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA08303/060421,19-February-2021,31-December-2025,Vadodara,SOLARIS PLUS,NA,172790.55,376770700,,PR/VADODARA/VADODARA/GANDHINAGAR TPO/210308/010570,M/S ANJANI DEVELOPERS,
2028-03-31 05:30:00,11740,New,16-April-2021,2021-02-28 20:29:37,79785000,Residential/Group Housing,Vadodara,"ROYAL BUNGALOWS, NEXT TO VORAGAMDI VILLAGE TARSALI BY PASS, NATIONAL HIGHWAY NO.8",79785000,Paid,PR/GJ/VADODARA/VADODARA/Others/RAA08339/160421,28-February-2021,31-March-2028,Vadodara,ROYAL BUNGALOWS,NA,30744,79785000,,PR/VADODARA/VADODARA/GANDHINAGAR TPO/210308/010571,TOSIF ENTERRPISE,
2021-06-30 05:30:00,11741,New,22-April-2021,2021-03-03 00:31:58,36140765,Commercial,Rajkot,"RamVihar Housing Colony street no.1, b/h Twin Star,  Nanamava Cirlce, 150 feet ring road, Rajkot",36140765,Paid,PR/GJ/RAJKOT/RAJKOT/Others/CAA08359/220421,30-September-2020,30-June-2021,Rajkot,UTTAM ARCADE,NA,26381.6,36140765,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210316/010572,RATILAL BHANUBHAI BHALODIYA AND OTHERS,
2023-03-31 05:30:00,11742,New,09-July-2021,2021-03-02 02:01:15,53761238,Residential/Group Housing,Vadodara,"AASHIRWAD BUNGLOWS & AVENUE, PATADIYA HANUMAN ROAD B/H ZAIN SCHOOL, PADRA,VADODARA",53761238,Paid,PR/GJ/VADODARA/PADRA/Others/RAA08740/090721,28-September-2017,31-March-2023,Vadodara,AASHIRWAD BUNGLOWS & AVENUE,NA,10624,53761239,,PR/VADODARA/PADRA/VADODARA TPO/210326/010576,EMPIRE CORPORATION,
2025-07-17 05:30:00,11743,New,11-June-2021,2021-03-16 22:07:44,61601463,Residential/Group Housing,Anand,NEAR MUKANDBHAINI KHARI THAMANA ROAD,61601463,Paid,PR/GJ/ANAND/UMRETH/Others/RAA08603/110621,01-March-2021,17-July-2025,Others,TULSI RESIDENCY,NA,20133.84,61601463,,PR/ANAND/UMRETH/ANAND TPO/210330/010575,PRAVINBHAI SHANKARBHAI PATEL & OTHERS,
2025-12-31 05:30:00,11745,New,22-April-2021,2021-03-02 16:10:14,91278462,Residential/Group Housing,Surat,"TPS NO.: 50 (VED-KATARGAM), FP NO.: 50/1/D (AS PER TR), FP NO.: 50/D (AS PER DRAFT), O P NO. 50/1/D,R.S NO.-69/1/D, AT- VED,SURAT.",91278462,Paid,PR/GJ/SURAT/SURAT CITY/SUDA/RAA08349/220421,17-November-2020,31-December-2025,Surat,SHIVAM HEIGHTS,NA,30100.96,91278462,,PR/SURAT/SURAT CITY/SUDA/210308/010577,SHIVAM HEIGHTS CO OPERATIVE HOUSING SOCIETY LIMITED,
